cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM740,-976.77,115.69,20.167,0.99721,0.00036686,0.0011482,0.00033748,0.00026865,0.00018613,0.00048369
bBM741,-1077.7,-1237.5,-203.2,1,7.2479e-16,1.4634e-15,2.3177e-15,1.407e-15,2.7176e-15,8.2537e-16
bBM742,-197.62,189.37,22.49,0.11984,0.15985,0.13574,0.20045,0.11408,0.15957,0.11047
bBM744,-668.67,580.87,20.694,0.043108,0.056002,0.011052,0.015398,0.015169,0.013865,0.84541
bBM746,176.36,-1539.4,-126.88,1.5265e-15,1,1.2831e-15,3.4068e-16,2.1257e-17,4.4388e-16,0
bBM747,-266.45,245.86,22.246,0.14963,0.10302,0.082328,0.18014,0.2885,0.087316,0.10906
bBM748,-979.01,95.483,19.822,0.99849,0.00020638,0.00063898,0.00018581,0.00014376,9.5156e-05,0.00024268
bBM750,-968.88,67.199,19.983,0.99819,0.00023902,0.00080135,0.00018088,0.00015652,0.00013104,0.00029883
bBM752,-158.81,201.76,22.51,0.090188,0.14319,0.18184,0.20103,0.092185,0.2082,0.083379
bBM753,-1078,-1254.3,-204.85,1,1.1023e-15,1.4252e-15,2.031e-15,1.3407e-15,2.1994e-15,7.7693e-16
bBM754,-148.72,183.93,22.114,0.059211,0.091935,0.579,0.079636,0.03402,0.12547,0.030729
bBM755,-12.199,222.45,19.047,1.1803e-05,3.3839e-05,4.9057e-05,0.99971,1.267e-05,0.0001695,1.1796e-05
bBM756,-352.56,246.69,22.044,0.17248,0.12596,0.069363,0.092093,0.1908,0.055722,0.29358
bBM758,-202.56,183.76,22.499,0.11891,0.18953,0.12036,0.16387,0.11794,0.16019,0.1292
bBM759,287.49,-372.35,18.088,7.3619e-06,0.99986,8.3669e-06,5.6149e-05,1.5706e-06,5.9001e-05,5.2494e-06
bBM760,-83.674,88.098,22.081,0.056093,0.50214,0.070585,0.082913,0.044332,0.20837,0.035577
bBM762,-181.72,207.99,22.521,0.098926,0.15012,0.14555,0.21932,0.1054,0.17431,0.10637
bBM764,-1074.4,-1236.1,-203.69,1,1.3435e-15,1.4132e-15,2.073e-15,1.2487e-15,2.5619e-15,6.3629e-16
